,unitid,state,year,control,grad_cohort,grad_100,grad_150
9197,197869,North Carolina,2013,Public,138.0,33.0,73.0
9209,197911,North Carolina,2013,Private not-for-profit,29.0,8.0,11.0
9221,197984,North Carolina,2013,Private not-for-profit,16.0,5.0,7.0
9233,198066,North Carolina,2013,Private not-for-profit,18.0,4.0,9.0
9245,198136,North Carolina,2013,Private not-for-profit,142.0,38.0,49.0
9257,198215,North Carolina,2013,Private not-for-profit,46.0,5.0,19.0
9269,198303,North Carolina,2013,Private not-for-profit,175.0,22.0,38.0
9281,198385,North Carolina,2013,Private not-for-profit,23.0,21.0,21.0
9293,198419,North Carolina,2013,Private not-for-profit,153.0,121.0,140.0
9305,198464,North Carolina,2013,Public,541.0,140.0,289.0
9317,198507,North Carolina,2013,Public,563.0,122.0,239.0
9329,198516,North Carolina,2013,Private not-for-profit,66.0,51.0,57.0
9341,198543,North Carolina,2013,Public,787.0,102.0,265.0
9353,198561,North Carolina,2013,Private not-for-profit,51.0,17.0,27.0
9365,198598,North Carolina,2013,Private not-for-profit,40.0,3.0,10.0
9377,198613,North Carolina,2013,Private not-for-profit,39.0,12.0,17.0
9389,198695,North Carolina,2013,Private not-for-profit,55.0,25.0,28.0
9401,198756,North Carolina,2013,Private not-for-profit,492.0,158.0,219.0
9413,198835,North Carolina,2013,Private not-for-profit,24.0,6.0,9.0
9425,198862,North Carolina,2013,Private not-for-profit,310.0,37.0,66.0
9437,198899,North Carolina,2013,Private not-for-profit,69.0,9.0,16.0
9449,198950,North Carolina,2013,Private not-for-profit,42.0,20.0,25.0
9461,198969,North Carolina,2013,Private not-for-profit,70.0,4.0,15.0
9473,199032,North Carolina,2013,Private not-for-profit,43.0,2.0,16.0
9485,199069,North Carolina,2013,Private not-for-profit,92.0,14.0,40.0
9497,199102,North Carolina,2013,Public,1433.0,233.0,627.0
9509,199111,North Carolina,2013,Public,22.0,10.0,13.0
9521,199120,North Carolina,2013,Public,429.0,315.0,369.0
9533,199139,North Carolina,2013,Public,382.0,80.0,203.0
9545,199148,North Carolina,2013,Public,570.0,150.0,321.0
9557,199157,North Carolina,2013,Public,1102.0,164.0,438.0
9569,199184,North Carolina,2013,Public,21.0,8.0,10.0
9581,199193,North Carolina,2013,Public,432.0,121.0,292.0
9593,199209,North Carolina,2013,Private not-for-profit,110.0,22.0,39.0
9605,199218,North Carolina,2013,Public,81.0,38.0,56.0
9617,199272,North Carolina,2013,Private not-for-profit,33.0,14.0,18.0
9629,199281,North Carolina,2013,Public,327.0,28.0,95.0
9641,199306,North Carolina,2013,Private not-for-profit,13.0,2.0,4.0
9653,199315,North Carolina,2013,Private not-for-profit,1.0,0.0,0.0
9665,199412,North Carolina,2013,Private not-for-profit,30.0,8.0,11.0
9677,199458,North Carolina,2013,Private not-for-profit,0.0,0.0,0.0
9689,199582,North Carolina,2013,Private not-for-profit,408.0,87.0,117.0
9701,199607,North Carolina,2013,Private not-for-profit,18.0,10.0,10.0
9713,199698,North Carolina,2013,Private not-for-profit,12.0,0.0,4.0
9725,199865,North Carolina,2013,Private not-for-profit,4.0,1.0,3.0
9737,199962,North Carolina,2013,Private not-for-profit,55.0,17.0,23.0
9749,199999,North Carolina,2013,Public,841.0,142.0,386.0
9761,200004,North Carolina,2013,Public,79.0,17.0,32.0
